Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",time
South Sudan,SSD,2021,36.474163,2021
Spain,ESP,2021,65.33425,2021
Sri Lanka,LKA,2021,87.36289,2021
Sudan,SDN,2021,96.19454,2021
Suriname,SUR,2021,69.99513,2021
Sweden,SWE,2021,4.9323015,2021
Switzerland,CHE,2021,9.325489,2021
Syria,SYR,2021,87.52774,2021
Tajikistan,TJK,2021,74.52525,2021
Tanzania,TZA,2021,89.35185,2021
Thailand,THA,2021,90.37448,2021
Togo,TGO,2021,34.08072,2021
Trinidad and Tobago,TTO,2021,4.3580375,2021
Tunisia,TUN,2021,75.542175,2021
Turkey,TUR,2021,77.054794,2021
Turkmenistan,TKM,2021,92.7487,2021
Uganda,UGA,2021,40.65934,2021
Ukraine,UKR,2021,30.996048,2021
United Arab Emirates,ARE,2021,45.667034,2021
United Kingdom,GBR,2021,14.049881,2021
United States,USA,2021,39.658783,2021
Uruguay,URY,2021,86.61202,2021
Uzbekistan,UZB,2021,90.912,2021
Venezuela,VEN,2021,73.85211,2021
Vietnam,VNM,2021,94.782394,2021
Yemen,YEM,2021,90.74334,2021
Zambia,ZMB,2021,73.28244,2021
Zimbabwe,ZWE,2021,87.20018,2021
